job_id,rating,position,company,job_city,job_state_code,sal_low,sal_high,link
3021622367,3.5,data scientist,Abbott,Irving,TX,89,132,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=352789&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_20c667ed&cb=1541970869666&jobListingId=3021622367
2470928111,4.7,data & analytics consultant (dal),Systems Evolution Inc.,Dallas,TX,126,154,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=430310&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_262a877d&cb=1541970869667&jobListingId=2470928111
3000624676,3.2,data scientist,Vencore,Plano,TX,87,129,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=400784&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1169eb66&cb=1541970869668&jobListingId=3000624676
3001769284,3.4,data scientist,HCSC,Richardson,TX,84,125,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=149209&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_63269538&cb=1541970869669&jobListingId=3001769284
3021402646,4.3,data scientist (revenue management),Southwest Airlines Co.,Dallas,TX,49,74,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=81681&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0fb0566a&cb=1541970869670&jobListingId=3021402646
2976910475,3.4,sr. data scientist,Elevate Credit,Addison,TX,109,157,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=404932&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4701325e&cb=1541970869671&jobListingId=2976910475
2999684436,4.0,data scientist,Texas Instruments,Dallas,TX,98,146,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=212128&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_82b0e798&cb=1541970869672&jobListingId=2999684436
2963576309,3.2,data scientist,Brillio,Dallas,TX,74,106,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=180417&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8cab9019&cb=1541970869673&jobListingId=2963576309
3017160516,,data scientist,TransReach Talent,Irving,TX,nan,nan,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=83255&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5f5fb86c&cb=1541970869674&jobListingId=3017160516
3004648832,3.5,data scientist,Verizon,Irving,TX,115,159,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=133279&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ccdb4a82&cb=1541970869675&jobListingId=3004648832
2968413449,4.1,principal data scientist/ai architect,Microsoft Corporation,Irving,TX,137,184,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=359521&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_221e8fcd&cb=1541970869676&jobListingId=2968413449
2993812060,3.0,data scientist -,State Farm,Richardson,TX,107,155,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=352789&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_970ad089&cb=1541970869677&jobListingId=2993812060
2769663536,4.6,data scientist,Impiger Technologies,Richardson,TX,nan,nan,https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=4120&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_3ad8ebc3&cb=1541970869678&jobListingId=2769663536
3003081732,2.4,data scientist,Altice USA,Plano,TX,80,120,https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=283198&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f0f8b73d&cb=1541970869680&jobListingId=3003081732
2984164532,2.4,"data scientist, forecasting & planning",Fred's,Dallas,TX,86,131,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=37049&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9df990d5&cb=1541970869681&jobListingId=2984164532
2933657797,,data scientist,"Compubahn, Inc.",Dallas,TX,76,109,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=4321&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_3d4d5842&cb=1541970869682&jobListingId=2933657797
2983129497,,data scientist,"Genius Road, LLC",Dallas,TX,nan,nan,https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=4321&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_96f3a825&cb=1541970869683&jobListingId=2983129497
2943990166,3.6,data scientist/developer,IBM,Dallas,TX,106,150,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=140152&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d633de69&cb=1541970869684&jobListingId=2943990166
2980815546,3.6,data scientist,AgreeYa Solutions,Irving,TX,nan,nan,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=242359&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bd59e1c0&cb=1541970869685&jobListingId=2980815546
3021370225,3.1,data scientist,NTT DATA,Dallas,TX,106,157,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=133983&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6b30aded&cb=1541970869687&jobListingId=3021370225
2949470753,3.6,data scientist,Kelly Mitchell Group,Irving,TX,nan,nan,https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=4120&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_aba04086&cb=1541970869688&jobListingId=2949470753
2802090504,4.4,data scientist,"HumCap, Inc.",Dallas,TX,nan,nan,https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=37049&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_67856915&cb=1541970869689&jobListingId=2802090504
3004923809,2.9,data scientist,SuddenLink Communications,Plano,TX,71,108,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=283198&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b0452438&cb=1541970869690&jobListingId=3004923809
2646368469,3.6,data scientist,Primus Software Corporation,Plano,TX,102,153,https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=4341&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_2479764c&cb=1541970869691&jobListingId=2646368469
2911901973,3.8,data scientist,Pyramid Consulting,Dallas,TX,nan,nan,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=349930&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6a4d0c12&cb=1541970869693&jobListingId=2911901973
2988939432,4.0,data scientist,Zimmerman Advertising,Dallas,TX,68,102,https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=4375&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_449d2de6&cb=1541970869694&jobListingId=2988939432
2997176346,,data scientist,Ateroz,Irving,TX,nan,nan,https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=85058&s=58&guid=0000016704a03bf2b038877c9055e067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3a23f3d1&cb=1541970869695&jobListingId=2997176346
