job_id,rating,position,company,job_city,job_state_code,sal_low,sal_high,link
3012988356,4.2,data scientist,"Neteffects, Inc.",Chesterfield,MO,nan,nan,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=242359&s=58&guid=0000016704efd401b4cf2f6e64b61394&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_56060cb0&cb=1541976086042&jobListingId=3012988356
2888561521,4.0,data scientist - intern/coop,Monsanto Company,Saint Louis,MO,65,97,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=133555&s=58&guid=0000016704efd401b4cf2f6e64b61394&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dfd59d70&cb=1541976086043&jobListingId=2888561521
2776358738,3.5,data scientist-machine learning,Mercy,Chesterfield,MO,82,120,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=133751&s=58&guid=0000016704efd401b4cf2f6e64b61394&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2b660141&cb=1541976086044&jobListingId=2776358738
2806460360,2.9,data scientist,Schnucks,Saint Louis,MO,74,117,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=230701&s=58&guid=0000016704efd401b4cf2f6e64b61394&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ba4bf766&cb=1541976086045&jobListingId=2806460360
3015796253,1.0,data scientist,Involgix,Madison,IL,nan,nan,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=242359&s=58&guid=0000016704efd401b4cf2f6e64b61394&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5cece0f2&cb=1541976086046&jobListingId=3015796253
3000108095,3.7,data scientist,Merck KGaA,Saint Louis,MO,68,101,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=353321&s=58&guid=0000016704efd401b4cf2f6e64b61394&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f7275814&cb=1541976086047&jobListingId=3000108095
3007585691,4.0,data scientist,Monsanto,Saint Louis,MO,108,154,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=173354&s=58&guid=0000016704efd401b4cf2f6e64b61394&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_77627f1a&cb=1541976086049&jobListingId=3007585691
2968158260,,data scientist,"Trinity Global Consulting, LLC",Saint Louis,MO,nan,nan,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=389273&s=58&guid=0000016704efd401b4cf2f6e64b61394&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5f3f64a2&cb=1541976086050&jobListingId=2968158260
2990144218,3.7,data scientist,Booz Allen Hamilton Inc.,Saint Louis,MO,81,125,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=134088&s=58&guid=0000016704efd401b4cf2f6e64b61394&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cafa918e&cb=1541976086051&jobListingId=2990144218
2986880721,4.0,data scientist,US Department of Defense,Saint Louis,MO,70,105,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=39106&s=58&guid=0000016704efd401b4cf2f6e64b61394&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0cffb70c&cb=1541976086052&jobListingId=2986880721
